CustomerID;Title;FirstName;MiddleName;LastName;Suffix;AddressLine1;AddressLine2;City;StateProvinceName;CountryRegionName;PostalCode;PhoneNumber;BirthDate;Education;Occupation;Gender;MaritalStatus;HomeOwnerFlag;NumberCarsOwned;NumberChildrenAtHome;TotalChildren;YearlyIncome;LastUpdated;BikeBuyer;AvgMonthSpend;BikeBuyerText;Today;Age;age groups
16183;NULL;Tanya;NULL;Carlson;NULL;9435 Vine Hill Way;NULL;St. Leonards;New South Wales;Australia;2065;1 (11) 500 555-0136;30990;Bachelors;Skilled Manual;F;S;0;2;0;0;53784;6/03/2017;0;50.85;NO;14/09/2024;40;40-59
25700;NULL;Faith;B;Coleman;NULL;2181, rue Malar;NULL;Saint-Denis;Seine Saint Denis;France;93400;1 (11) 500 555-0165;27259;Partial College;Manual;F;S;0;1;0;0;25826;6/03/2017;0;47.53;NO;14/09/2024;50;40-59
21746;NULL;Xavier;NULL;Hernandez;NULL;144 Santa Monica;NULL;Lakewood;California;United States;90712;404-555-0118;30026;High School;Manual;M;M;1;0;1;1;30925;6/03/2017;1;50.48;YES;14/09/2024;43;40-59
26560;NULL;Lindsey;NULL;Shen;NULL;589 Woodcrest Drive;NULL;Newcastle;New South Wales;Australia;2300;1 (11) 500 555-0163;26088;Partial High School;Manual;F;M;1;1;1;2;30288;6/03/2017;0;50.57;NO;14/09/2024;53;40-59
16988;NULL;Brian;R;Bailey;NULL;9013 Ramsay Circle;NULL;Oakland;California;United States;94611;621-555-0190;31156;Bachelors;Manual;M;S;0;0;0;0;34685;6/03/2017;1;48.1;YES;14/09/2024;39;30-39
18562;NULL;Mary;P;Wright;NULL;5745 St. Paul Way;NULL;Novato;California;United States;94947;160-555-0188;32675;Graduate Degree;Skilled Manual;F;M;0;1;1;1;58213;6/03/2017;1;51.99;YES;14/09/2024;35;30-39
14996;NULL;Ross;R;Gill;NULL;Unter Linden 934;NULL;Berlin;Hamburg;Germany;10210;1 (11) 500 555-0114;34986;Partial College;Management;M;S;0;0;0;0;108342;6/03/2017;1;51.43;YES;14/09/2024;29;24 -29
26741;NULL;Nichole;J;Pal;NULL;2765 Robbins Place;NULL;Lane Cove;New South Wales;Australia;1597;1 (11) 500 555-0197;32007;Bachelors;Professional;F;M;1;2;1;1;130385;6/03/2017;1;55.52;YES;14/09/2024;37;30-39
19490;NULL;Kristina;D;Smith;NULL;11, rue de Cambrai;NULL;Paris;Seine (Paris);France;75019;1 (11) 500 555-0167;31002;Partial College;Skilled Manual;F;S;0;2;0;0;58227;6/03/2017;1;50.76;YES;14/09/2024;40;40-59
12720;NULL;Nicolas;J;Chande;NULL;44, rue du D?©part;NULL;Suresnes;Hauts de Seine;France;92150;1 (11) 500 555-0115;34640;Partial College;Skilled Manual;M;S;0;1;0;0;52156;6/03/2017;1;47.68;YES;14/09/2024;30;30-39
14050;NULL;Manuel;M;Lopez;NULL;2396 Ancona Ct.;NULL;Cloverdale;South Australia;Australia;6105;1 (11) 500 555-0146;31548;Graduate Degree;Professional;M;S;1;2;0;0;131458;6/03/2017;1;57.1;YES;14/09/2024;38;30-39
11926;NULL;Eduardo;NULL;Foster;NULL;609 Power Ave.;NULL;Oregon City;Oregon;United States;97045;522-555-0169;35872;Partial College;Manual;M;S;0;1;0;0;33510;6/03/2017;0;46.25;NO;14/09/2024;27;24 -29
28023;NULL;Andrea;D;James;NULL;4645 Rossmor Parkway;NULL;Corvallis;Oregon;United States;97330;514-555-0198;24365;High School;Skilled Manual;F;S;1;1;0;1;56785;6/03/2017;0;51.34;NO;14/09/2024;58;40-59
22541;NULL;Stefanie;NULL;Martinez;NULL;Im Himmelsweg 27;NULL;Paderborn;Hamburg;Germany;33041;1 (11) 500 555-0120;34329;Partial College;Skilled Manual;F;S;0;1;0;0;58201;6/03/2017;0;51.29;NO;14/09/2024;31;30-39
23192;NULL;Emily;E;Garcia;NULL;8180 Loveridge Circle;NULL;Palo Alto;California;United States;94303;300-555-0120;31145;Bachelors;Clerical;F;M;1;2;0;1;82359;7/03/2017;1;49.64;YES;14/09/2024;39;30-39
24957;NULL;Anna;A;Howard;NULL;8290 Margaret Ct.;NULL;Lakewood;California;United States;90712;869-555-0119;23853;Partial High School;Skilled Manual;F;M;1;2;1;2;55654;6/03/2017;1;50.98;YES;14/09/2024;59;40-59
11867;NULL;Nathaniel;C;James;NULL;4268 Weaver Court;NULL;National City;California;United States;91950;112-555-0116;29335;High School;Manual;M;M;1;1;1;2;33167;6/03/2017;0;58.85;NO;14/09/2024;44;40-59
11929;NULL;Virginia;NULL;Gonzalez;NULL;7566 Keller Ridge Dr.;NULL;St. Leonards;New South Wales;Australia;2065;1 (11) 500 555-0188;24150;Partial College;Management;F;S;1;3;0;1;107883;6/03/2017;1;52.81;YES;14/09/2024;59;40-59
27994;NULL;Jodi;L;Rai;NULL;5680 Camelback Ct.;NULL;Beaverton;Oregon;United States;97005;622-555-0178;21005;High School;Clerical;F;M;1;1;2;2;80056;7/03/2017;1;53.16;YES;14/09/2024;67;60+
21068;NULL;Lawrence;B;Jimenez;NULL;5097 Bourton Ct.;NULL;Bury;England;United Kingdom;PE17;1 (11) 500 555-0119;31075;Partial High School;Skilled Manual;M;S;0;2;0;0;54577;6/03/2017;1;49.8;YES;14/09/2024;40;40-59
26332;NULL;Aaron;W;Mitchell;NULL;3773 Lakefield Place;NULL;Lebanon;Oregon;United States;97355;116-555-0185;31681;Bachelors;Manual;M;M;0;0;1;1;36070;6/03/2017;1;59.05;YES;14/09/2024;38;30-39
20232;NULL;Franklin;L;Chande;NULL;867 Calico Way;NULL;Hobart;Tasmania;Australia;7001;1 (11) 500 555-0166;30813;Bachelors;Skilled Manual;M;M;1;2;1;2;54049;6/03/2017;1;54.19;YES;14/09/2024;40;40-59
15029;NULL;Alejandro;W;Ye;NULL;5572 Running Springs Road;NULL;Wollongong;New South Wales;Australia;2500;1 (11) 500 555-0199;36315;Partial College;Management;M;S;0;1;0;0;112726;6/03/2017;0;55.8;NO;14/09/2024;25;24 -29
28907;NULL;Blake;NULL;Jenkins;NULL;1156 Dublin Court;NULL;Runcorn;England;United Kingdom;TY31;1 (11) 500 555-0111;25983;Partial College;Manual;M;M;1;1;0;2;29749;6/03/2017;0;48.95;NO;14/09/2024;54;40-59
11887;NULL;Joseph;NULL;White;NULL;8656 Lakespring Place;NULL;Coronado;California;United States;92118;149-555-0116;28585;Bachelors;Skilled Manual;M;M;1;2;2;2;56820;6/03/2017;1;55.26;YES;14/09/2024;46;40-59
16809;NULL;Bailey;A;Sanders;NULL;3910 Fawn Glen Circle;NULL;Redwood City;California;United States;94063;532-555-0181;25743;Partial College;Management;F;S;1;3;0;0;102647;6/03/2017;1;51.75;YES;14/09/2024;54;40-59
18033;NULL;Evelyn;W;Patel;NULL;Postfach 44 11 11;NULL;Solingen;Nordrhein-Westfalen;Germany;42651;1 (11) 500 555-0193;35205;Partial College;Clerical;F;S;0;2;0;0;82258;6/03/2017;1;51.48;YES;14/09/2024;28;24 -29
27605;NULL;Miguel;NULL;Martinez;NULL;5656 Via Delaware;NULL;Sedro Woolley;Washington;United States;98284;455-555-0163;28147;High School;Skilled Manual;M;M;1;1;2;2;54200;6/03/2017;1;55.34;YES;14/09/2024;48;40-59
14106;NULL;Melissa;NULL;Hughes;NULL;9391 80th St;NULL;Oakland;California;United States;94611;976-555-0182;35077;Partial College;Skilled Manual;F;S;0;2;0;0;60908;6/03/2017;1;51.97;YES;14/09/2024;29;24 -29
29293;NULL;Nuan;NULL;Wu;NULL;7717 Amador Valley Blvd.;NULL;Hawthorne;Queensland;Australia;4171;1 (11) 500 555-0113;31930;Bachelors;Management;M;S;1;2;0;0;105007;6/03/2017;1;54.5;YES;14/09/2024;37;30-39
17669;NULL;Olivia;N;Rivera;NULL;8490 Longbrood Way;NULL;Sedro Woolley;Washington;United States;98284;196-555-0192;28043;High School;Manual;F;M;1;0;1;1;32319;6/03/2017;1;48.12;YES;14/09/2024;48;40-59
23540;NULL;Bruce;NULL;Lopez;NULL;324 Mepham Dr.;NULL;Gold Coast;Queensland;Australia;4217;1 (11) 500 555-0119;29987;Partial College;Skilled Manual;M;S;0;1;0;0;52311;6/03/2017;0;57.27;NO;14/09/2024;43;40-59
19710;NULL;Arianna;S;Gonzales;NULL;7886 Ruth Drive;NULL;Port Hammond;British Columbia;Canada;V6B 3P7;223-555-0195;29501;Partial College;Clerical;F;S;1;2;0;0;82851;6/03/2017;0;54.25;NO;14/09/2024;44;40-59
21495;NULL;James;NULL;Hughes;NULL;8225 Hidden Oak Ct;NULL;Olympia;Washington;United States;98501;525-555-0165;26147;High School;Manual;M;M;1;1;2;2;29111;6/03/2017;0;53.22;NO;14/09/2024;53;40-59
14773;NULL;Noah;NULL;Ross;NULL;7, route de Marseille;NULL;Villeneuve-d'Ascq;Nord;France;59491;1 (11) 500 555-0136;32260;Graduate Degree;Clerical;M;M;1;1;1;1;81985;6/03/2017;1;52.19;YES;14/09/2024;36;30-39
29082;NULL;Sabrina;L;Ramos;NULL;868 Aspen Dr.;NULL;Wollongong;New South Wales;Australia;2500;1 (11) 500 555-0143;25225;Partial High School;Manual;F;S;1;0;0;0;33954;6/03/2017;0;46.19;NO;14/09/2024;56;40-59
14021;NULL;Michelle;NULL;Richardson;NULL;2676 Santa Fe Street;NULL;Kirkland;Washington;United States;98033;590-555-0195;35005;Partial College;Manual;F;S;0;0;0;0;29016;6/03/2017;0;45.76;NO;14/09/2024;29;24 -29
23689;NULL;Kayla;D;Hall;NULL;7034 Carson;NULL;West Covina;California;United States;91791;155-555-0190;24529;High School;Manual;F;M;1;0;1;2;33152;6/03/2017;1;50.02;YES;14/09/2024;58;40-59
13485;NULL;Thomas;J;Allen;NULL;288 Almaden Dr.;NULL;Chula Vista;California;United States;91910;599-555-0119;21118;Graduate Degree;Clerical;M;M;1;1;2;2;80331;6/03/2017;1;53.77;YES;14/09/2024;67;60+
14179;NULL;Claudia;J;Xu;NULL;L?ºtzowplatz 5538;NULL;Braunschweig;Nordrhein-Westfalen;Germany;38001;1 (11) 500 555-0140;24223;Bachelors;Clerical;F;S;1;1;1;1;79235;6/03/2017;0;51.62;NO;14/09/2024;58;40-59
15084;NULL;Adrienne;NULL;Serrano;NULL;Winterfeldtstr 2529;NULL;Kassel;Hessen;Germany;34117;1 (11) 500 555-0186;32771;Graduate Degree;Manual;F;S;0;1;0;0;35390;6/03/2017;0;50.42;NO;14/09/2024;35;30-39
27193;NULL;Daniel;V;Miller;NULL;6885 Auburn;NULL;Lincoln Acres;California;United States;91950;623-555-0156;34472;Graduate Degree;Professional;M;S;0;3;0;0;136457;6/03/2017;0;52.17;NO;14/09/2024;30;30-39
20423;NULL;Alicia;H;Goel;NULL;7405 Jacqueline Drive;NULL;Wollongong;New South Wales;Australia;2500;1 (11) 500 555-0147;26582;High School;Skilled Manual;F;S;1;1;0;0;53549;6/03/2017;0;53.1;NO;14/09/2024;52;40-59
18300;NULL;Diane;L;Ramos;NULL;3381 Paso Nogal;NULL;Cloverdale;South Australia;Australia;6105;1 (11) 500 555-0148;29779;Partial College;Clerical;F;M;1;0;1;2;85674;6/03/2017;1;50.64;YES;14/09/2024;43;40-59
21781;NULL;Jared;NULL;Rivera;NULL;2096 Trinity Ave.;NULL;Lynnwood;Washington;United States;98036;432-555-0138;24645;Bachelors;Professional;M;M;1;3;0;2;129242;6/03/2017;1;52.48;YES;14/09/2024;57;40-59
28780;NULL;Melissa;L;Griffin;NULL;1874 Orchid Ct;NULL;Seattle;Washington;United States;98104;844-555-0182;27766;Partial High School;Skilled Manual;F;M;1;1;2;2;61829;6/03/2017;1;52.85;YES;14/09/2024;49;40-59
25162;NULL;Bryan;D;Morris;NULL;9634 S. Silver Spring;NULL;Torrance;California;United States;90505;729-555-0131;30997;Bachelors;Management;M;S;1;3;0;0;111980;6/03/2017;1;59.52;YES;14/09/2024;40;40-59
26829;NULL;Morgan;NULL;Evans;NULL;Postfach 55 00 00;NULL;Bottrop;Nordrhein-Westfalen;Germany;46236;1 (11) 500 555-0110;32043;Bachelors;Skilled Manual;F;M;1;0;1;1;54675;7/03/2017;1;52.61;YES;14/09/2024;37;30-39
11345;NULL;Robin;NULL;Ramos;NULL;6, rue de l¬¥Esplanade;NULL;Tremblay-en-France;Seine Saint Denis;France;93290;1 (11) 500 555-0111;28196;Partial College;Management;F;S;1;3;0;0;106648;6/03/2017;1;53.81;YES;14/09/2024;48;40-59
22539;NULL;Randall;D;Sanz;NULL;3001 Mt. Etna;NULL;Woolston;England;United Kingdom;WA1 4SY;1 (11) 500 555-0177;34039;Partial High School;Skilled Manual;M;S;0;1;0;0;58037;6/03/2017;0;52.65;NO;14/09/2024;32;30-39
26226;NULL;Michele;C;Andersen;NULL;Zimmerstr 57;NULL;M?ºnchen;Nordrhein-Westfalen;Germany;80074;1 (11) 500 555-0182;33930;Partial College;Management;F;M;1;2;0;1;106062;6/03/2017;1;51.69;YES;14/09/2024;32;30-39
22654;NULL;Orlando;NULL;Romero;NULL;8, rue de la Com?©die;NULL;Colombes;Hauts de Seine;France;92700;1 (11) 500 555-0112;31312;High School;Manual;M;S;0;1;0;0;28008;6/03/2017;0;56.39;NO;14/09/2024;39;30-39
20389;NULL;Lee;NULL;Romero;NULL;5627 Crystal Avenue;NULL;Ballard;Washington;United States;98107;461-555-0172;21951;Graduate Degree;Clerical;M;M;1;2;0;3;86828;6/03/2017;0;50.62;NO;14/09/2024;65;60+
27716;NULL;Albert;E;Ramos;NULL;9993 Oak Grove Rd.;NULL;Lavender Bay;New South Wales;Australia;2060;1 (11) 500 555-0145;29862;Partial College;Skilled Manual;M;S;0;2;0;0;61109;6/03/2017;1;57.61;YES;14/09/2024;43;40-59
23670;NULL;Mya;D;Henderson;NULL;6985 Matterhorn Ct;NULL;Salem;Oregon;United States;97301;647-555-0186;21524;Graduate Degree;Manual;F;M;1;1;1;2;35142;6/03/2017;0;47.02;NO;14/09/2024;66;60+
28410;NULL;Cheryl;R;Gill;NULL;466 Ranch Road;NULL;Bracknell;England;United Kingdom;RG12 8TB;1 (11) 500 555-0121;35541;High School;Skilled Manual;F;M;0;2;0;0;59673;6/03/2017;0;48.54;NO;14/09/2024;27;24 -29
21755;NULL;Lucas;R;White;NULL;2581 Browse Ct;NULL;Coronado;California;United States;92118;703-555-0112;23094;Bachelors;Professional;M;M;1;3;1;2;133272;6/03/2017;1;56.63;YES;14/09/2024;62;60+
12254;NULL;Calvin;NULL;Deng;NULL;100, rue des Rosiers;NULL;Pantin;Seine Saint Denis;France;93500;1 (11) 500 555-0134;23068;Partial College;Clerical;M;S;1;3;0;1;81957;6/03/2017;0;50.09;NO;14/09/2024;62;60+
17082;NULL;Morgan;W;Smith;NULL;Moritzstr 32;NULL;Hamburg;Hamburg;Germany;20354;1 (11) 500 555-0129;34477;Partial College;Management;F;S;0;1;0;0;103314;6/03/2017;0;52.78;NO;14/09/2024;30;30-39
25122;NULL;Susan;L;Zhao;NULL;5527 Liscome Way;NULL;Bendigo;Victoria;Australia;3550;1 (11) 500 555-0167;31852;Graduate Degree;Management;F;S;1;2;0;0;103546;6/03/2017;1;51.61;YES;14/09/2024;38;30-39
25619;NULL;Rafael;C;Raji;NULL;65, avenue du Port;NULL;Tremblay-en-France;Seine Saint Denis;France;93290;1 (11) 500 555-0176;32225;Bachelors;Skilled Manual;M;M;0;0;1;1;58317;6/03/2017;1;48.05;YES;14/09/2024;37;30-39
24940;NULL;Fernando;NULL;Martin;NULL;7559 Worth Ct.;NULL;Concord;California;United States;94519;327-555-0191;22093;Bachelors;Skilled Manual;M;M;1;2;0;2;55825;6/03/2017;0;48.53;NO;14/09/2024;64;60+
13117;NULL;Evelyn;NULL;Rodriguez;NULL;9236 Hanson Lane;NULL;Sydney;New South Wales;Australia;1002;1 (11) 500 555-0122;31423;Graduate Degree;Manual;F;S;0;1;0;0;36367;6/03/2017;0;48.33;NO;14/09/2024;39;30-39
12460;NULL;Dominique;NULL;Malhotra;NULL;9838 Westchester Pl.;NULL;London;England;United Kingdom;W1Y 3RA;1 (11) 500 555-0140;32470;Bachelors;Management;F;S;0;2;0;0;107852;6/03/2017;1;54.89;YES;14/09/2024;36;30-39
13619;NULL;Arturo;NULL;Xu;NULL;6111 Guadalajara;NULL;Rhodes;New South Wales;Australia;2138;1 (11) 500 555-0173;35196;Bachelors;Management;M;M;1;0;0;0;105888;6/03/2017;0;51.31;NO;14/09/2024;28;24 -29
